analyze,analyse
apologize,apologise
behavior,behaviour
canceled,cancelled
center,centre
color,colour
defense,defence
enrollment,enrolment
favorite,favourite
flavor,flavour
gray,grey
harbor,harbour
honor,honour
humor,humour
jewelry,jewellery
judgment,judgement
labor,labour
maneuver,manoeuvre
neighbor,neighbour
plow,plough
rumor,rumour
skeptical,sceptical
theater,theatre
traveled,travelled
familiarize,familiarise
maximize,maximise
maximizing,maximising
minimize,minimise
minimizing,minimising
realize,realise
recognize,recognise
synchronize,synchronise
utilize,utilise
normalizing,normalising
normalization,normalisation
normalize,normalise
organized,organised
organization,organisation
utilization,utilisation
utilizing,utilising
organizations,organisations
minimizes,minimises
organizational,organisational
analyzing,analysing
utilization,utilisation
optimized,optimised
randomized,randomised
summarize,summarise
organize,organise
visualization,visualisation
prioritize,prioritise
personalized,personalised
anonymization,anonymisation
scrutinized,scrutinised
industry-recognized,industry-recognised
well-organized,well-organised
behaviors,behaviours
behavior,behaviour
colorful,colourful
organizing,organising
organized,organised
